siteName,theme,industry,colorScheme,localDesign,referoUrl
Foundry,dark,design,dark,docs/refero/styles/foundry-896f0ea9/DESIGN.md,https://styles.refero.design/style/896f0ea9-6f1a-40a6-aba7-fdaa579c7352
7shifts,light,saas,light,docs/refero/styles/7shifts-736830b5/DESIGN.md,https://styles.refero.design/style/736830b5-90b1-47b0-99dd-d79454a0d22a
Shopify,dark,ecommerce,dark,docs/refero/styles/shopify-1a8ba699/DESIGN.md,https://styles.refero.design/style/1a8ba699-24cb-4b35-8db1-c595c578199c
Look inc,light,agency,light,docs/refero/styles/look-inc-ab1b113a/DESIGN.md,https://styles.refero.design/style/ab1b113a-ed21-4512-acc2-d10c8927c410
My Site 3,light,media,light,docs/refero/styles/my-site-3-0ae2e849/DESIGN.md,https://styles.refero.design/style/0ae2e849-7a1f-432a-89c6-b49d4a988300
Brex,light,fintech,light,docs/refero/styles/brex-b58d92f6/DESIGN.md,https://styles.refero.design/style/b58d92f6-68a8-4358-8fc9-6ea58e6d483b
Linus Rogge,mixed,agency,both,docs/refero/styles/linus-rogge-81a66e75/DESIGN.md,https://styles.refero.design/style/81a66e75-23af-4525-8a4e-f4a54c2700e7
Motto®,light,agency,light,docs/refero/styles/motto-6eb5fc89/DESIGN.md,https://styles.refero.design/style/6eb5fc89-d0db-4293-8bff-13c5aa530a28
Sequence,light,fintech,light,docs/refero/styles/sequence-707a9081/DESIGN.md,https://styles.refero.design/style/707a9081-3d1d-4a0b-b1aa-b58b3fab09af
LaunchDarkly,dark,saas,dark,docs/refero/styles/launchdarkly-18a75348/DESIGN.md,https://styles.refero.design/style/18a75348-513a-49d8-94f5-e2df8c118b6b
Dul Zorigoo,light,design,light,docs/refero/styles/dul-zorigoo-c8ca6c83/DESIGN.md,https://styles.refero.design/style/c8ca6c83-3197-4b19-af1c-b29d6f829c5f
Giulia Saporito,light,design,light,docs/refero/styles/giulia-saporito-bc057246/DESIGN.md,https://styles.refero.design/style/bc057246-6ea4-4503-810f-98381e6be28d
sweetgreen,light,ecommerce,light,docs/refero/styles/sweetgreen-d91841cf/DESIGN.md,https://styles.refero.design/style/d91841cf-c717-43ef-97a2-400778fa6e1a
Dovetail,dark,ai,dark,docs/refero/styles/dovetail-6f9452a4/DESIGN.md,https://styles.refero.design/style/6f9452a4-3b64-4c6f-a05e-528d7a586f24
Giga,dark,ai,dark,docs/refero/styles/giga-607e0dbf/DESIGN.md,https://styles.refero.design/style/607e0dbf-e2fc-45c9-b939-946b8981c156
Air,dark,productivity,dark,docs/refero/styles/air-d3289fe7/DESIGN.md,https://styles.refero.design/style/d3289fe7-a85e-42d8-96b7-eb7faa62a104
Replicate,light,ai,light,docs/refero/styles/replicate-71c21f97/DESIGN.md,https://styles.refero.design/style/71c21f97-ba85-4439-b259-198a66f4b3d2
Glassnode,mixed,crypto,both,docs/refero/styles/glassnode-a79b6a74/DESIGN.md,https://styles.refero.design/style/a79b6a74-6b67-4c9f-9d69-bff80869b943
Fruitful,light,fintech,light,docs/refero/styles/fruitful-3634d5eb/DESIGN.md,https://styles.refero.design/style/3634d5eb-ccfa-4881-b234-3dd735fb7ae4
Airbnb,light,other,light,docs/refero/styles/airbnb-194faa2f/DESIGN.md,https://styles.refero.design/style/194faa2f-2f69-4bbf-9e29-290f28fa8ca2
Fey,dark,fintech,dark,docs/refero/styles/fey-a0630421/DESIGN.md,https://styles.refero.design/style/a0630421-7b66-48b4-aa14-6194a3b2c2b9
Google,light,ai,light,docs/refero/styles/google-a03a60a7/DESIGN.md,https://styles.refero.design/style/a03a60a7-0e40-4744-be13-475506cfbcb6
BRAVÒ STUDIO,dark,media,dark,docs/refero/styles/bravo-studio-32fee900/DESIGN.md,https://styles.refero.design/style/32fee900-17a5-4753-b08d-3c73f2d2f71f
Gt-planar,dark,design,dark,docs/refero/styles/gt-planar-3f22028a/DESIGN.md,https://styles.refero.design/style/3f22028a-05d4-4648-a6d1-591134af06a4
Nike.com,light,ecommerce,light,docs/refero/styles/nike-com-d7ace114/DESIGN.md,https://styles.refero.design/style/d7ace114-0548-41f5-a2ff-2afbf32be94d
OpenSea,dark,crypto,dark,docs/refero/styles/opensea-61f1902f/DESIGN.md,https://styles.refero.design/style/61f1902f-6da3-4af7-b046-3b08bc1377f6
Substack,light,media,light,docs/refero/styles/substack-14e563d8/DESIGN.md,https://styles.refero.design/style/14e563d8-a35a-4867-b4bf-15d1620ddae7
Navan,light,saas,light,docs/refero/styles/navan-a5089389/DESIGN.md,https://styles.refero.design/style/a5089389-4220-4fc2-82d9-973203d2e2f5
ORYZO AI,dark,other,dark,docs/refero/styles/oryzo-ai-1f204e95/DESIGN.md,https://styles.refero.design/style/1f204e95-454a-437e-845b-c1b169d35607
Art Direction/Design,light,design,light,docs/refero/styles/art-direction-design-733f32ca/DESIGN.md,https://styles.refero.design/style/733f32ca-efc3-40fb-bc58-327bd2b45828
Suno,dark,ai,dark,docs/refero/styles/suno-3b5ff57f/DESIGN.md,https://styles.refero.design/style/3b5ff57f-a371-4c7f-82ae-5fc5485da073
re_ grocery,light,ecommerce,light,docs/refero/styles/re-grocery-2ef7c644/DESIGN.md,https://styles.refero.design/style/2ef7c644-3454-45d1-bd2f-f8290119821d
beehiiv,dark,saas,dark,docs/refero/styles/beehiiv-350b1557/DESIGN.md,https://styles.refero.design/style/350b1557-56f0-4361-8c8b-b7a88081982b
Wealthsimple,light,fintech,light,docs/refero/styles/wealthsimple-043341c3/DESIGN.md,https://styles.refero.design/style/043341c3-cf82-4be1-9142-fa5e6a370ca9
Duna,light,fintech,light,docs/refero/styles/duna-8cf4a580/DESIGN.md,https://styles.refero.design/style/8cf4a580-bfb6-4090-a899-f734ffe62370
Manus,light,ai,light,docs/refero/styles/manus-63cd6fbc/DESIGN.md,https://styles.refero.design/style/63cd6fbc-c3f1-4fd4-9115-70300bc07adc
Skillshare,mixed,media,both,docs/refero/styles/skillshare-162e9ba9/DESIGN.md,https://styles.refero.design/style/162e9ba9-7487-4b57-aee8-0bbeadcc586d
Campsite,light,productivity,light,docs/refero/styles/campsite-e8589e7c/DESIGN.md,https://styles.refero.design/style/e8589e7c-5ba9-4923-aa7f-0f1bf0d679be
Maisonmargiela,light,ecommerce,light,docs/refero/styles/maisonmargiela-44a6d2a5/DESIGN.md,https://styles.refero.design/style/44a6d2a5-16ef-42cd-a69c-33a7af16638d
aave.com,mixed,fintech,both,docs/refero/styles/aave-com-e352ec32/DESIGN.md,https://styles.refero.design/style/e352ec32-830a-4650-b7c2-d32a5f559f7e
Charlie,dark,design,dark,docs/refero/styles/charlie-34aa811f/DESIGN.md,https://styles.refero.design/style/34aa811f-6084-484c-b4c0-f587b514e970
LUNCH,light,ecommerce,light,docs/refero/styles/lunch-cd3fbf9d/DESIGN.md,https://styles.refero.design/style/cd3fbf9d-8d35-411b-9e69-89a03018b677
Cron Calendar,dark,productivity,dark,docs/refero/styles/cron-calendar-476184db/DESIGN.md,https://styles.refero.design/style/476184db-a4e6-440b-aa53-27294668361c
Dropmark,light,productivity,light,docs/refero/styles/dropmark-5618f26a/DESIGN.md,https://styles.refero.design/style/5618f26a-4df6-42cb-8081-15e4318b54ff
Opennote,light,productivity,light,docs/refero/styles/opennote-24d3b281/DESIGN.md,https://styles.refero.design/style/24d3b281-04a6-4cc7-8a74-634b08472291
Designmodo,mixed,design,both,docs/refero/styles/designmodo-c60a19c1/DESIGN.md,https://styles.refero.design/style/c60a19c1-259a-4001-95d9-6a3826f5c06e
Strava,light,other,light,docs/refero/styles/strava-efdd6d8f/DESIGN.md,https://styles.refero.design/style/efdd6d8f-4488-4312-86a7-4ee8e016c83a
DJI,light,ecommerce,light,docs/refero/styles/dji-f11750fc/DESIGN.md,https://styles.refero.design/style/f11750fc-d7c0-4d26-b32a-3b1d2098ae34
Shuttle,light,productivity,light,docs/refero/styles/shuttle-7b0f403f/DESIGN.md,https://styles.refero.design/style/7b0f403f-5428-49dc-9ae3-addbe64261ae
Microsoft,light,other,light,docs/refero/styles/microsoft-5f39e778/DESIGN.md,https://styles.refero.design/style/5f39e778-d204-42a9-8b8b-a1519dbd3971
Minimal Collective,dark,media,dark,docs/refero/styles/minimal-collective-94c15607/DESIGN.md,https://styles.refero.design/style/94c15607-2f19-4dc4-9aec-2b40f28b754f
Circle,light,saas,light,docs/refero/styles/circle-ab8450d9/DESIGN.md,https://styles.refero.design/style/ab8450d9-1b42-4395-aa24-9e277f021aa1
Home,light,design,light,docs/refero/styles/home-7337d65c/DESIGN.md,https://styles.refero.design/style/7337d65c-9a98-4b0f-b8bb-6f470742af98
Lamanna,light,other,light,docs/refero/styles/lamanna-057d7c66/DESIGN.md,https://styles.refero.design/style/057d7c66-76b7-4272-849c-4058543e6799
Lyssna,light,saas,light,docs/refero/styles/lyssna-65f775f1/DESIGN.md,https://styles.refero.design/style/65f775f1-6dcc-4c49-80d2-b5a017b76f59
VEED,light,ai,light,docs/refero/styles/veed-fff821ec/DESIGN.md,https://styles.refero.design/style/fff821ec-a3bf-41a5-aea2-626185bcd227
Fluz,light,fintech,light,docs/refero/styles/fluz-7ce6bd42/DESIGN.md,https://styles.refero.design/style/7ce6bd42-e498-47c0-ad02-7b3a0f5d94e0
Liveblocks,dark,devtools,dark,docs/refero/styles/liveblocks-9b9b0ca1/DESIGN.md,https://styles.refero.design/style/9b9b0ca1-5067-4115-b62f-ee0e43d1f37f
Going™,light,other,light,docs/refero/styles/goingtm-3461e90e/DESIGN.md,https://styles.refero.design/style/3461e90e-35d2-4269-9f11-cbe935f0a3a2
Films 53/12,dark,media,dark,docs/refero/styles/films-53-12-9796b04a/DESIGN.md,https://styles.refero.design/style/9796b04a-2bb6-4571-9f68-f3360e5746c2
HARDCLO,dark,ecommerce,dark,docs/refero/styles/hardclo-c3cf4acc/DESIGN.md,https://styles.refero.design/style/c3cf4acc-da7a-4496-8c4b-aa89a7c9e36c
WRITER,light,ai,light,docs/refero/styles/writer-ddd9ffaa/DESIGN.md,https://styles.refero.design/style/ddd9ffaa-d831-4cb4-a5bf-a1efce421dca
pampam.city,light,design,light,docs/refero/styles/pampam-city-001480cb/DESIGN.md,https://styles.refero.design/style/001480cb-05f4-4802-be39-84b942169481
Trigger.dev,dark,devtools,dark,docs/refero/styles/trigger-dev-86541d12/DESIGN.md,https://styles.refero.design/style/86541d12-7870-4d51-8c47-0880fdb1ea01
Perplexity AI,light,ai,light,docs/refero/styles/perplexity-ai-7c4e9339/DESIGN.md,https://styles.refero.design/style/7c4e9339-591c-46c3-ac3d-20c1b5b5a568
Railway,dark,devtools,dark,docs/refero/styles/railway-5c32375f/DESIGN.md,https://styles.refero.design/style/5c32375f-6ef1-4345-9418-ebbb7e887343
OLIPOP,light,ecommerce,light,docs/refero/styles/olipop-c6ec55c7/DESIGN.md,https://styles.refero.design/style/c6ec55c7-0bd9-47c5-a4d2-669b7790c9cc
Opalcamera,light,other,light,docs/refero/styles/opalcamera-46f01790/DESIGN.md,https://styles.refero.design/style/46f01790-e488-4aba-9236-02466b0fb3cd
Lightship,light,other,light,docs/refero/styles/lightship-fdcd4cbb/DESIGN.md,https://styles.refero.design/style/fdcd4cbb-4db6-4138-9cfd-964795f1e1d6
Chainzoku,light,crypto,light,docs/refero/styles/chainzoku-44287b0a/DESIGN.md,https://styles.refero.design/style/44287b0a-8709-406d-8ba3-8765ecb19a1f
Thomas Vimare,dark,design,dark,docs/refero/styles/thomas-vimare-1b293bed/DESIGN.md,https://styles.refero.design/style/1b293bed-e6fc-4880-9691-2dbf04339bd5
Fiverr.com,light,other,light,docs/refero/styles/fiverr-com-c3b34927/DESIGN.md,https://styles.refero.design/style/c3b34927-0638-463e-bf85-180d73bfc367
Bareis + Nicolaus,dark,agency,dark,docs/refero/styles/bareis-nicolaus-e80c5b4a/DESIGN.md,https://styles.refero.design/style/e80c5b4a-fd03-460e-a577-49928a4ab5db
Canva,mixed,design,both,docs/refero/styles/canva-62f89392/DESIGN.md,https://styles.refero.design/style/62f89392-609d-45b7-b9df-7a5acd529864
OpenWeb,light,media,light,docs/refero/styles/openweb-c38d077b/DESIGN.md,https://styles.refero.design/style/c38d077b-3cdb-48c6-899c-e8a543508c31
Tella,mixed,saas,both,docs/refero/styles/tella-41547c7a/DESIGN.md,https://styles.refero.design/style/41547c7a-3bbe-49f0-95d6-9701c9df9a5e
Mural,mixed,productivity,both,docs/refero/styles/mural-2b6642d9/DESIGN.md,https://styles.refero.design/style/2b6642d9-fa66-4c06-9804-30f56e544a6d
Pika,mixed,ai,both,docs/refero/styles/pika-9fe9f106/DESIGN.md,https://styles.refero.design/style/9fe9f106-44d2-45fc-9873-10c6ddcfa59b
Rivian,light,other,light,docs/refero/styles/rivian-a5dc5626/DESIGN.md,https://styles.refero.design/style/a5dc5626-1103-42e3-9edb-a6d52fb9a210
Ysl,dark,ecommerce,dark,docs/refero/styles/ysl-bb2a2b0b/DESIGN.md,https://styles.refero.design/style/bb2a2b0b-c84e-48ee-9dd9-7b623f81a422
Mr. Marcel School,dark,design,dark,docs/refero/styles/mr-marcel-school-d91ae311/DESIGN.md,https://styles.refero.design/style/d91ae311-ba5c-461a-8895-eb0aed6585b4
AI Product Generation,light,ai,light,docs/refero/styles/ai-product-generation-186775da/DESIGN.md,https://styles.refero.design/style/186775da-7568-49e5-8110-4fd0bbc7bbe3
Portrait,light,productivity,light,docs/refero/styles/portrait-6b51388b/DESIGN.md,https://styles.refero.design/style/6b51388b-d00f-4b22-8297-68fb9fc00bc7
Acne Studios,light,ecommerce,light,docs/refero/styles/acne-studios-234e9a17/DESIGN.md,https://styles.refero.design/style/234e9a17-236d-4446-9d58-f83f6806d012
Oura Ring,light,other,light,docs/refero/styles/oura-ring-9decde51/DESIGN.md,https://styles.refero.design/style/9decde51-2a8b-4212-bba5-be9457efc62e
Arc,light,productivity,light,docs/refero/styles/arc-ca93daf1/DESIGN.md,https://styles.refero.design/style/ca93daf1-daf3-41b7-8248-8f63082761e8
Udemy,light,other,light,docs/refero/styles/udemy-c03afcbd/DESIGN.md,https://styles.refero.design/style/c03afcbd-96ed-4b7f-8d0a-277fc0042ba7
Loveseen,light,ecommerce,light,docs/refero/styles/loveseen-59d76415/DESIGN.md,https://styles.refero.design/style/59d76415-95d0-43fe-a698-79147cef9f66
Hugging Face,light,ai,light,docs/refero/styles/hugging-face-4363070d/DESIGN.md,https://styles.refero.design/style/4363070d-02da-4954-88e4-d4a2101c5204
Resident,light,ecommerce,light,docs/refero/styles/resident-f451c085/DESIGN.md,https://styles.refero.design/style/f451c085-f048-4c9c-ae3b-03acc88320ab
Amie,light,productivity,light,docs/refero/styles/amie-29567671/DESIGN.md,https://styles.refero.design/style/29567671-da1e-4f85-ae52-8b611fecc384
Outsource Consultants,light,other,light,docs/refero/styles/outsource-consultants-16be276a/DESIGN.md,https://styles.refero.design/style/16be276a-d8ce-484e-8f7a-cbbb09f717f7
Microsoft AI,mixed,ai,both,docs/refero/styles/microsoft-ai-46781641/DESIGN.md,https://styles.refero.design/style/46781641-8afd-4b01-9f67-06046b6eda71
Faire ES,light,ecommerce,light,docs/refero/styles/faire-es-6fb648be/DESIGN.md,https://styles.refero.design/style/6fb648be-cc69-4a84-a798-9f0f006922a0
Miti Navi,light,other,light,docs/refero/styles/miti-navi-887f0c74/DESIGN.md,https://styles.refero.design/style/887f0c74-c696-4589-82ae-85705ecda919
Pa'lais,light,ecommerce,light,docs/refero/styles/pa-lais-5ef5e1ff/DESIGN.md,https://styles.refero.design/style/5ef5e1ff-3cb3-4383-9f66-26474409d9ae
Firecrawl,light,ai,light,docs/refero/styles/firecrawl-78fec83e/DESIGN.md,https://styles.refero.design/style/78fec83e-4b27-44ab-9f64-31e9dee53e46
AIR Studios,dark,media,dark,docs/refero/styles/air-studios-8038983d/DESIGN.md,https://styles.refero.design/style/8038983d-8aa9-485f-88fe-2ff696b9ff27
Henry,light,design,light,docs/refero/styles/henry-ff4b9eff/DESIGN.md,https://styles.refero.design/style/ff4b9eff-dc0b-4886-bd65-c2f5e9069318
Deta Surf,light,productivity,light,docs/refero/styles/deta-surf-51752cfb/DESIGN.md,https://styles.refero.design/style/51752cfb-4fd4-464f-8b78-ecbc813830e1
Umbrel,dark,crypto,dark,docs/refero/styles/umbrel-9e5bd4b1/DESIGN.md,https://styles.refero.design/style/9e5bd4b1-0ba8-4592-a5ec-a935bd4ea9c6
Fonts In Use,light,design,light,docs/refero/styles/fonts-in-use-348c83bc/DESIGN.md,https://styles.refero.design/style/348c83bc-bed3-4562-841a-26a30ee19a9b
Kraken,light,crypto,light,docs/refero/styles/kraken-14389660/DESIGN.md,https://styles.refero.design/style/14389660-81ff-4ca0-957f-b0dcc8fbe120
Sometimes Always,light,ecommerce,light,docs/refero/styles/sometimes-always-e30d2fb6/DESIGN.md,https://styles.refero.design/style/e30d2fb6-e3d6-4e0a-9395-6d196d5e7c7d
Cassette,dark,media,dark,docs/refero/styles/cassette-fb4cfe58/DESIGN.md,https://styles.refero.design/style/fb4cfe58-00b5-4e6a-b251-0c65e60b6649
Val Town,light,devtools,light,docs/refero/styles/val-town-4d0a5051/DESIGN.md,https://styles.refero.design/style/4d0a5051-1c4c-4338-8406-2babdc97915c
Frame.io,dark,saas,dark,docs/refero/styles/frame-io-30c3aa18/DESIGN.md,https://styles.refero.design/style/30c3aa18-4323-4448-8ddd-3ca933fe5780
Warp,dark,devtools,dark,docs/refero/styles/warp-d4c51049/DESIGN.md,https://styles.refero.design/style/d4c51049-58eb-404a-9fcb-f195928b1c99
Trade Crypto,light,fintech,light,docs/refero/styles/trade-crypto-76b0c23b/DESIGN.md,https://styles.refero.design/style/76b0c23b-7a09-49f6-a53c-cc6fc6258d5f
Flying Papers,light,other,light,docs/refero/styles/flying-papers-7d254296/DESIGN.md,https://styles.refero.design/style/7d254296-6817-487a-a58c-4d5eca89cbf3
Twingate,dark,saas,dark,docs/refero/styles/twingate-0acef011/DESIGN.md,https://styles.refero.design/style/0acef011-07da-4416-b874-ccdd675140f6
Base,light,crypto,light,docs/refero/styles/base-530eb4cf/DESIGN.md,https://styles.refero.design/style/530eb4cf-7e75-4833-95c9-746818050db7
Cohere,light,ai,light,docs/refero/styles/cohere-f1bff240/DESIGN.md,https://styles.refero.design/style/f1bff240-fa05-41db-9ae1-b165ea6ea2cb
FlutterFlow,dark,devtools,dark,docs/refero/styles/flutterflow-4e1ac04c/DESIGN.md,https://styles.refero.design/style/4e1ac04c-02ae-41cf-b588-3f6226a882f8
Yellowbird®,light,ecommerce,light,docs/refero/styles/yellowbird-22cc86bc/DESIGN.md,https://styles.refero.design/style/22cc86bc-6c5f-4413-a4a2-66b8ddc82ad0
Dash Digital Studio,light,agency,light,docs/refero/styles/dash-digital-studio-6036b661/DESIGN.md,https://styles.refero.design/style/6036b661-3886-4f76-a5e6-bb8960eb7db5
Home page | Impossible Foods,dark,other,dark,docs/refero/styles/home-page-impossible-foods-04961c7d/DESIGN.md,https://styles.refero.design/style/04961c7d-8ca6-4e87-ba88-6ad7ffa3b245
Joby Aviation,light,other,light,docs/refero/styles/joby-aviation-c1052d8d/DESIGN.md,https://styles.refero.design/style/c1052d8d-3663-46a4-a882-e50d9b8a1166
Mapbox,dark,devtools,dark,docs/refero/styles/mapbox-be34bbe8/DESIGN.md,https://styles.refero.design/style/be34bbe8-9a50-4f36-b379-840328f6350c
Groq,light,ai,light,docs/refero/styles/groq-8efa9029/DESIGN.md,https://styles.refero.design/style/8efa9029-b39c-48db-a8ec-c97c645a7a58
Analogue,dark,other,dark,docs/refero/styles/analogue-98ab0172/DESIGN.md,https://styles.refero.design/style/98ab0172-9474-43b5-9055-98cf1a6a2401
Empower,mixed,fintech,both,docs/refero/styles/empower-8d3dc65e/DESIGN.md,https://styles.refero.design/style/8d3dc65e-4443-4bb3-b1a9-b0fc98381db9
Gus,dark,agency,dark,docs/refero/styles/gus-3ec00801/DESIGN.md,https://styles.refero.design/style/3ec00801-59b9-4c1f-af33-429642c186d4
Convex,mixed,devtools,both,docs/refero/styles/convex-f71e92b0/DESIGN.md,https://styles.refero.design/style/f71e92b0-d7a5-4203-b975-394f185218c2
Rive,dark,design,dark,docs/refero/styles/rive-6323a42b/DESIGN.md,https://styles.refero.design/style/6323a42b-3b47-4774-92e4-15651a9ba2ac
Todoist,light,productivity,light,docs/refero/styles/todoist-729ba7a8/DESIGN.md,https://styles.refero.design/style/729ba7a8-35d5-44f3-abc0-1078ff6a3467
ON.energy,dark,ai,dark,docs/refero/styles/on-energy-31e00a99/DESIGN.md,https://styles.refero.design/style/31e00a99-6946-4f07-829a-b0904a39a20d
Doppler,dark,devtools,dark,docs/refero/styles/doppler-10654184/DESIGN.md,https://styles.refero.design/style/10654184-eb92-4b75-a7af-bd92bc6cdc5c
DICE,light,media,light,docs/refero/styles/dice-f4af4c42/DESIGN.md,https://styles.refero.design/style/f4af4c42-2cba-4aa6-8d06-2f728bce702d
Studio Tumulte,light,design,light,docs/refero/styles/studio-tumulte-5f72a3c2/DESIGN.md,https://styles.refero.design/style/5f72a3c2-7040-4d8c-9882-4d9384822469
Eindhoven Design District,light,design,light,docs/refero/styles/eindhoven-design-district-c90b584e/DESIGN.md,https://styles.refero.design/style/c90b584e-de5b-4971-9e13-8ab991bd96c0
SBS Town,dark,other,dark,docs/refero/styles/sbs-town-d670d78f/DESIGN.md,https://styles.refero.design/style/d670d78f-4542-4a66-b886-fc32361b8562
GTE,mixed,fintech,both,docs/refero/styles/gte-5d273906/DESIGN.md,https://styles.refero.design/style/5d273906-0110-48cf-99cd-63a72eb9c586
Contract,light,design,light,docs/refero/styles/contract-76faeb42/DESIGN.md,https://styles.refero.design/style/76faeb42-b43d-4cc7-ac03-1e4bd74f04b7
Bento,light,productivity,light,docs/refero/styles/bento-59ac8248/DESIGN.md,https://styles.refero.design/style/59ac8248-1d64-4df3-92f1-919b50e05602
Faculty Department,light,media,light,docs/refero/styles/faculty-department-11764fe0/DESIGN.md,https://styles.refero.design/style/11764fe0-e246-4b17-b3fb-a5d567466355
July Fund,dark,fintech,dark,docs/refero/styles/july-fund-adc127f5/DESIGN.md,https://styles.refero.design/style/adc127f5-c6ec-4892-984d-5445c2b6104e
HyperAktiv,light,other,light,docs/refero/styles/hyperaktiv-d19c6fc3/DESIGN.md,https://styles.refero.design/style/d19c6fc3-1fc6-44a0-9c22-a0a82f7f79b4
Compound,light,fintech,light,docs/refero/styles/compound-cd31ecdb/DESIGN.md,https://styles.refero.design/style/cd31ecdb-297a-4fc5-a727-05f835ff917f
BelArosa Chalet,light,agency,light,docs/refero/styles/belarosa-chalet-46c8dbc5/DESIGN.md,https://styles.refero.design/style/46c8dbc5-47c8-4796-b94c-5e46dcda3532
Websmith Studio,light,agency,light,docs/refero/styles/websmith-studio-11cfc460/DESIGN.md,https://styles.refero.design/style/11cfc460-807b-42c5-b10a-7b042c60f3e8
CHRISTOPHER IRELAND CREATIVE,light,agency,light,docs/refero/styles/christopher-ireland-creative-295beab5/DESIGN.md,https://styles.refero.design/style/295beab5-cd8a-473b-ab7d-3df6cda30231
MindMarket,light,agency,light,docs/refero/styles/mindmarket-9130ad37/DESIGN.md,https://styles.refero.design/style/9130ad37-bf80-458f-b808-ac0ef6a8d1e9
Lovable,light,ai,light,docs/refero/styles/lovable-9ff62d34/DESIGN.md,https://styles.refero.design/style/9ff62d34-e48d-4fcb-9fd9-c018e2747542
UGLYCASH,light,fintech,light,docs/refero/styles/uglycash-680cf16b/DESIGN.md,https://styles.refero.design/style/680cf16b-0093-473b-854f-f1de9af5e698
PostHog,light,devtools,light,docs/refero/styles/posthog-56cd3725/DESIGN.md,https://styles.refero.design/style/56cd3725-3ff0-459e-894d-5da58d1fc549
GRU Space,dark,other,dark,docs/refero/styles/gru-space-d58d888e/DESIGN.md,https://styles.refero.design/style/d58d888e-85ed-4273-9816-2c83f65f6f1d
Medium,light,media,light,docs/refero/styles/medium-9c92c3d1/DESIGN.md,https://styles.refero.design/style/9c92c3d1-a2fe-4a27-a324-826b19501774
adidas,light,ecommerce,light,docs/refero/styles/adidas-72340f0a/DESIGN.md,https://styles.refero.design/style/72340f0a-e7ea-4f9b-b683-19a1c3dcdc32
Your workplace has the answer. Just ask Dala for it.,dark,ai,dark,docs/refero/styles/your-workplace-has-the-answer-just-ask-dala-for-it-e5f5f8cf/DESIGN.md,https://styles.refero.design/style/e5f5f8cf-e68d-4ed1-bbf5-6b67569af648
Copilot Money,dark,fintech,dark,docs/refero/styles/copilot-money-91b110da/DESIGN.md,https://styles.refero.design/style/91b110da-902b-4d09-8bf0-26bd1f25f8b2
Drive Capital,light,other,light,docs/refero/styles/drive-capital-241ebab6/DESIGN.md,https://styles.refero.design/style/241ebab6-1f3a-4637-8754-4f6b164ea090
Ayo,dark,media,dark,docs/refero/styles/ayo-e13dcc7e/DESIGN.md,https://styles.refero.design/style/e13dcc7e-27fa-46dd-a9a2-cee09c822793
Custo,light,other,light,docs/refero/styles/custo-3ad131ed/DESIGN.md,https://styles.refero.design/style/3ad131ed-b603-49a3-9491-7407db6cb423
HAPE PRIME,dark,crypto,dark,docs/refero/styles/hape-prime-fc739087/DESIGN.md,https://styles.refero.design/style/fc739087-2f0a-4deb-b105-2af10205f185
No Ideas,dark,design,dark,docs/refero/styles/no-ideas-908017b4/DESIGN.md,https://styles.refero.design/style/908017b4-311c-4b89-afa5-c29c8cb08e8b
Tally Forms,light,productivity,light,docs/refero/styles/tally-forms-4e3aa524/DESIGN.md,https://styles.refero.design/style/4e3aa524-b146-416c-907f-382c079ea80c
natureofthings,light,ecommerce,light,docs/refero/styles/natureofthings-55c6d667/DESIGN.md,https://styles.refero.design/style/55c6d667-40f5-45c6-9ffe-3e9543334186
Asana,light,productivity,light,docs/refero/styles/asana-6b2a0513/DESIGN.md,https://styles.refero.design/style/6b2a0513-df80-4140-87a8-38b1fef34313
Elektron,dark,other,dark,docs/refero/styles/elektron-6b5a0bf4/DESIGN.md,https://styles.refero.design/style/6b5a0bf4-3d2a-4c3b-aa2e-652f1acb82c0
Rows,light,ai,light,docs/refero/styles/rows-8d4a4e15/DESIGN.md,https://styles.refero.design/style/8d4a4e15-31f1-4509-8d13-7746f85c20d7
homunculus Inc.,dark,agency,dark,docs/refero/styles/homunculus-inc-68076c4e/DESIGN.md,https://styles.refero.design/style/68076c4e-f1a6-4d31-9629-cc1af14d9dc5
BEHAVE Candy,light,ecommerce,light,docs/refero/styles/behave-candy-5cc6e3be/DESIGN.md,https://styles.refero.design/style/5cc6e3be-1cbd-4d09-9958-9cb82b2487db
Munro Partners,light,fintech,light,docs/refero/styles/munro-partners-d2e327b2/DESIGN.md,https://styles.refero.design/style/d2e327b2-1181-4203-82a6-2dc15a72078a
Dyotanya,light,design,light,docs/refero/styles/dyotanya-1b13360a/DESIGN.md,https://styles.refero.design/style/1b13360a-cdca-4798-969d-57ebb20a3b30
NEON Rated,dark,media,dark,docs/refero/styles/neon-rated-d7d9c36d/DESIGN.md,https://styles.refero.design/style/d7d9c36d-fec9-4218-9e17-3d129dfb2dee
Firstandforemost,light,agency,light,docs/refero/styles/firstandforemost-ac86af87/DESIGN.md,https://styles.refero.design/style/ac86af87-6f60-42a2-b805-87a168792e55
Voiceflow,light,ai,light,docs/refero/styles/voiceflow-03b3d707/DESIGN.md,https://styles.refero.design/style/03b3d707-2a30-4f53-a524-347d1b70eb2c
Drizzle ORM,light,devtools,light,docs/refero/styles/drizzle-orm-972925c4/DESIGN.md,https://styles.refero.design/style/972925c4-0caa-4dc2-9c00-798b5be0ad70
Cosmos,light,design,light,docs/refero/styles/cosmos-eb804e3a/DESIGN.md,https://styles.refero.design/style/eb804e3a-1b75-446c-8374-114bbabaf0cd
